SiteName,Camera,lon,lat,date
Paddysland,B07,152.213125,-30.092584,2014/12/17 02:48:00
Paddysland,W02,152.142073,-30.09163,2014/12/17 05:30:00
Paddysland,B04,152.186567,-30.089872,2014/12/17 05:36:00
Paddysland,B13,152.250721,-30.074394,2014/12/17 06:11:00
Paddysland,SP04,152.241509,-30.046721,2014/12/17 06:14:00
Paddysland,SP04,152.241509,-30.046721,2014/12/17 06:18:00
Paddysland,W02,152.142073,-30.09163,2014/12/17 06:45:00
Paddysland,SP02,152.249853,-30.062331,2014/12/17 06:49:00
Paddysland,W06,152.178073,-30.098792,2014/12/17 07:34:00
Paddysland,MG02,152.161326,-30.088263,2014/12/17 07:35:00
Paddysland,W06,152.178073,-30.098792,2014/12/17 07:36:00
Paddysland,W02,152.142073,-30.09163,2014/12/17 08:19:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 09:48:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 09:56:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 10:05:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 10:12:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 10:20:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 10:29:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 10:35:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 10:40:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 10:41:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 10:44:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 10:48:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 10:55:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 11:00:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 11:01:00
Paddysland,B08,152.215771,-30.08434,2014/12/17 11:05:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 11:08:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 11:10:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 11:16:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 11:27:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 11:28:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 11:41:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 11:53:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 11:59:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 12:22:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 12:38:00
